,score,abs_score,source,target
input->m0,-0.49699235,0.49699235,Node(input),Node(m0)
a0.h0->m0,-0.024373874,0.024373874,Node(a0.h0),Node(m0)
a0.h1->m0,0.20867954,0.20867954,Node(a0.h1),Node(m0)
a0.h4->m0,0.020407744,0.020407744,Node(a0.h4),Node(m0)
a0.h5->m0,0.027256586,0.027256586,Node(a0.h5),Node(m0)
a0.h6->m0,0.03253972,0.03253972,Node(a0.h6),Node(m0)
a0.h7->m0,0.092321634,0.092321634,Node(a0.h7),Node(m0)
a0.h10->m0,-0.022128478,0.022128478,Node(a0.h10),Node(m0)
a0.h11->m0,0.04314494,0.04314494,Node(a0.h11),Node(m0)
a0.h13->m0,-0.019865748,0.019865748,Node(a0.h13),Node(m0)
a0.h15->m0,0.025619803,0.025619803,Node(a0.h15),Node(m0)
input->a1.h14<v>,-0.029477028,0.029477028,Node(input),Node(a1.h14)
m0->a1.h3<v>,-0.018098494,0.018098494,Node(m0),Node(a1.h3)
m0->a1.h5<v>,0.023121236,0.023121236,Node(m0),Node(a1.h5)
m0->a1.h12<q>,-0.019768529,0.019768529,Node(m0),Node(a1.h12)
m0->m1,0.018043859,0.018043859,Node(m0),Node(m1)
a1.h5->m1,0.047033112,0.047033112,Node(a1.h5),Node(m1)
a1.h11->m1,-0.020146422,0.020146422,Node(a1.h11),Node(m1)
a1.h12->m1,-0.085862786,0.085862786,Node(a1.h12),Node(m1)
a1.h14->m1,0.019043595,0.019043595,Node(a1.h14),Node(m1)
m0->a2.h14<v>,0.027876094,0.027876094,Node(m0),Node(a2.h14)
m1->a2.h3<k>,0.02124854,0.02124854,Node(m1),Node(a2.h3)
m0->m2,-0.04896028,0.04896028,Node(m0),Node(m2)
a1.h3->m2,-0.026214778,0.026214778,Node(a1.h3),Node(m2)
a1.h4->m2,-0.050648075,0.050648075,Node(a1.h4),Node(m2)
a1.h10->m2,-0.024681367,0.024681367,Node(a1.h10),Node(m2)
a1.h11->m2,-0.017725222,0.017725222,Node(a1.h11),Node(m2)
m1->m2,0.099052325,0.099052325,Node(m1),Node(m2)
a2.h2->m2,-0.019762846,0.019762846,Node(a2.h2),Node(m2)
a2.h10->m2,-0.022533862,0.022533862,Node(a2.h10),Node(m2)
a2.h14->m2,0.029974079,0.029974079,Node(a2.h14),Node(m2)
m1->a3.h1<q>,0.017911714,0.017911714,Node(m1),Node(a3.h1)
m0->m3,-0.07348145,0.07348145,Node(m0),Node(m3)
a1.h4->m3,0.035160407,0.035160407,Node(a1.h4),Node(m3)
m1->m3,-0.05220291,0.05220291,Node(m1),Node(m3)
a2.h7->m3,-0.01929724,0.01929724,Node(a2.h7),Node(m3)
a2.h8->m3,0.019929137,0.019929137,Node(a2.h8),Node(m3)
a2.h14->m3,-0.019479409,0.019479409,Node(a2.h14),Node(m3)
a2.h15->m3,0.028384661,0.028384661,Node(a2.h15),Node(m3)
a3.h0->m3,0.02658112,0.02658112,Node(a3.h0),Node(m3)
a3.h8->m3,-0.018532207,0.018532207,Node(a3.h8),Node(m3)
a3.h13->m3,0.034721,0.034721,Node(a3.h13),Node(m3)
m1->m4,-0.086416036,0.086416036,Node(m1),Node(m4)
a3.h13->m4,-0.024225738,0.024225738,Node(a3.h13),Node(m4)
m3->m4,0.104074955,0.104074955,Node(m3),Node(m4)
a4.h9->m4,-0.03263948,0.03263948,Node(a4.h9),Node(m4)
a4.h12->m4,-0.0204012,0.0204012,Node(a4.h12),Node(m4)
m0->a5.h10<k>,0.017872117,0.017872117,Node(m0),Node(a5.h10)
m3->a5.h10<v>,-0.022956375,0.022956375,Node(m3),Node(a5.h10)
m1->m5,0.032568026,0.032568026,Node(m1),Node(m5)
a2.h14->m5,0.03539147,0.03539147,Node(a2.h14),Node(m5)
m2->m5,0.045775767,0.045775767,Node(m2),Node(m5)
m3->m5,-0.11620039,0.11620039,Node(m3),Node(m5)
a4.h11->m5,0.019963358,0.019963358,Node(a4.h11),Node(m5)
a5.h3->m5,-0.0253045,0.0253045,Node(a5.h3),Node(m5)
a5.h4->m5,0.018872477,0.018872477,Node(a5.h4),Node(m5)
a5.h5->m5,-0.030952882,0.030952882,Node(a5.h5),Node(m5)
a5.h9->m5,0.019198721,0.019198721,Node(a5.h9),Node(m5)
m5->a6.h4<v>,-0.020089354,0.020089354,Node(m5),Node(a6.h4)
m5->a6.h14<v>,0.023015616,0.023015616,Node(m5),Node(a6.h14)
m0->m6,0.017695297,0.017695297,Node(m0),Node(m6)
m2->m6,0.046475254,0.046475254,Node(m2),Node(m6)
a3.h0->m6,0.021434613,0.021434613,Node(a3.h0),Node(m6)
a3.h1->m6,0.025217652,0.025217652,Node(a3.h1),Node(m6)
a3.h14->m6,0.017987482,0.017987482,Node(a3.h14),Node(m6)
a4.h11->m6,-0.032796763,0.032796763,Node(a4.h11),Node(m6)
m4->m6,-0.09621068,0.09621068,Node(m4),Node(m6)
a5.h3->m6,-0.029208688,0.029208688,Node(a5.h3),Node(m6)
a5.h10->m6,-0.02534785,0.02534785,Node(a5.h10),Node(m6)
a5.h14->m6,0.022062372,0.022062372,Node(a5.h14),Node(m6)
m5->m6,0.065960124,0.065960124,Node(m5),Node(m6)
a6.h0->m6,0.023313975,0.023313975,Node(a6.h0),Node(m6)
a6.h4->m6,-0.040726177,0.040726177,Node(a6.h4),Node(m6)
a6.h10->m6,0.04278484,0.04278484,Node(a6.h10),Node(m6)
a6.h12->m6,0.03393836,0.03393836,Node(a6.h12),Node(m6)
a6.h13->m6,-0.018293504,0.018293504,Node(a6.h13),Node(m6)
m3->a7.h6<k>,0.019025717,0.019025717,Node(m3),Node(a7.h6)
m4->a7.h2<v>,-0.019621117,0.019621117,Node(m4),Node(a7.h2)
m5->a7.h6<q>,-0.020540144,0.020540144,Node(m5),Node(a7.h6)
m5->a7.h6<k>,0.019070426,0.019070426,Node(m5),Node(a7.h6)
m5->a7.h6<v>,0.019483536,0.019483536,Node(m5),Node(a7.h6)
m5->a7.h8<q>,0.030310199,0.030310199,Node(m5),Node(a7.h8)
m2->m7,-0.027671456,0.027671456,Node(m2),Node(m7)
m3->m7,0.07464667,0.07464667,Node(m3),Node(m7)
a4.h11->m7,0.018184366,0.018184366,Node(a4.h11),Node(m7)
a5.h3->m7,0.026662871,0.026662871,Node(a5.h3),Node(m7)
m5->m7,-0.088229716,0.088229716,Node(m5),Node(m7)
a6.h0->m7,-0.052458405,0.052458405,Node(a6.h0),Node(m7)
a6.h5->m7,-0.018325485,0.018325485,Node(a6.h5),Node(m7)
a6.h10->m7,0.041174084,0.041174084,Node(a6.h10),Node(m7)
m6->m7,-0.05222466,0.05222466,Node(m6),Node(m7)
a7.h1->m7,0.060246795,0.060246795,Node(a7.h1),Node(m7)
a7.h2->m7,-0.03580018,0.03580018,Node(a7.h2),Node(m7)
a7.h3->m7,0.049170088,0.049170088,Node(a7.h3),Node(m7)
a7.h6->m7,-0.06437647,0.06437647,Node(a7.h6),Node(m7)
a7.h13->m7,0.022037908,0.022037908,Node(a7.h13),Node(m7)
m5->a8.h8<q>,-0.02447417,0.02447417,Node(m5),Node(a8.h8)
m5->a8.h10<v>,0.019320512,0.019320512,Node(m5),Node(a8.h10)
m6->a8.h12<k>,-0.017665744,0.017665744,Node(m6),Node(a8.h12)
m6->a8.h13<k>,-0.018767715,0.018767715,Node(m6),Node(a8.h13)
m7->a8.h8<q>,-0.017915187,0.017915187,Node(m7),Node(a8.h8)
m7->a8.h10<v>,-0.025922468,0.025922468,Node(m7),Node(a8.h10)
m7->a8.h14<q>,0.02307263,0.02307263,Node(m7),Node(a8.h14)
m2->m8,-0.031502035,0.031502035,Node(m2),Node(m8)
m4->m8,-0.01856063,0.01856063,Node(m4),Node(m8)
a5.h3->m8,-0.029721303,0.029721303,Node(a5.h3),Node(m8)
m5->m8,-0.032804485,0.032804485,Node(m5),Node(m8)
a6.h0->m8,-0.031265803,0.031265803,Node(a6.h0),Node(m8)
a6.h12->m8,-0.018600844,0.018600844,Node(a6.h12),Node(m8)
a6.h15->m8,0.03169076,0.03169076,Node(a6.h15),Node(m8)
m6->m8,0.031760763,0.031760763,Node(m6),Node(m8)
a7.h2->m8,0.037718676,0.037718676,Node(a7.h2),Node(m8)
a7.h3->m8,-0.035350487,0.035350487,Node(a7.h3),Node(m8)
a7.h4->m8,0.017951397,0.017951397,Node(a7.h4),Node(m8)
a7.h6->m8,0.06362916,0.06362916,Node(a7.h6),Node(m8)
a8.h1->m8,0.029115766,0.029115766,Node(a8.h1),Node(m8)
a8.h3->m8,-0.033007108,0.033007108,Node(a8.h3),Node(m8)
a8.h4->m8,0.029668529,0.029668529,Node(a8.h4),Node(m8)
a8.h10->m8,0.060551286,0.060551286,Node(a8.h10),Node(m8)
a8.h13->m8,0.019483455,0.019483455,Node(a8.h13),Node(m8)
a8.h14->m8,0.020715911,0.020715911,Node(a8.h14),Node(m8)
m6->a9.h7<q>,-0.017682604,0.017682604,Node(m6),Node(a9.h7)
m7->a9.h15<q>,-0.020516224,0.020516224,Node(m7),Node(a9.h15)
m8->a9.h1<q>,-0.01999073,0.01999073,Node(m8),Node(a9.h1)
m8->a9.h1<v>,0.021582842,0.021582842,Node(m8),Node(a9.h1)
m8->a9.h15<k>,-0.019072797,0.019072797,Node(m8),Node(a9.h15)
m3->m9,0.028940706,0.028940706,Node(m3),Node(m9)
m4->m9,0.032861814,0.032861814,Node(m4),Node(m9)
a5.h3->m9,-0.038561907,0.038561907,Node(a5.h3),Node(m9)
m5->m9,0.028489105,0.028489105,Node(m5),Node(m9)
a6.h0->m9,-0.019494139,0.019494139,Node(a6.h0),Node(m9)
m6->m9,0.08276759,0.08276759,Node(m6),Node(m9)
a7.h1->m9,0.018683605,0.018683605,Node(a7.h1),Node(m9)
a7.h2->m9,-0.020558354,0.020558354,Node(a7.h2),Node(m9)
a7.h6->m9,-0.06811756,0.06811756,Node(a7.h6),Node(m9)
a7.h10->m9,-0.02204074,0.02204074,Node(a7.h10),Node(m9)
a7.h11->m9,0.031688046,0.031688046,Node(a7.h11),Node(m9)
a8.h10->m9,-0.038752347,0.038752347,Node(a8.h10),Node(m9)
m8->m9,0.15345874,0.15345874,Node(m8),Node(m9)
a9.h5->m9,0.03391859,0.03391859,Node(a9.h5),Node(m9)
a9.h6->m9,-0.041122925,0.041122925,Node(a9.h6),Node(m9)
a9.h7->m9,0.018979471,0.018979471,Node(a9.h7),Node(m9)
a9.h15->m9,-0.057101794,0.057101794,Node(a9.h15),Node(m9)
m6->a10.h15<q>,0.01871178,0.01871178,Node(m6),Node(a10.h15)
a8.h8->a10.h4<q>,-0.019931603,0.019931603,Node(a8.h8),Node(a10.h4)
a9.h6->a10.h5<k>,0.019986186,0.019986186,Node(a9.h6),Node(a10.h5)
a9.h7->a10.h4<q>,-0.026283737,0.026283737,Node(a9.h7),Node(a10.h4)
m9->a10.h5<v>,0.018365143,0.018365143,Node(m9),Node(a10.h5)
m9->a10.h8<v>,-0.021464795,0.021464795,Node(m9),Node(a10.h8)
m1->m10,0.044860244,0.044860244,Node(m1),Node(m10)
m2->m10,-0.019472614,0.019472614,Node(m2),Node(m10)
m3->m10,-0.03116436,0.03116436,Node(m3),Node(m10)
m5->m10,0.050498705,0.050498705,Node(m5),Node(m10)
a6.h12->m10,-0.024152672,0.024152672,Node(a6.h12),Node(m10)
a7.h1->m10,0.029254865,0.029254865,Node(a7.h1),Node(m10)
a7.h6->m10,-0.026736345,0.026736345,Node(a7.h6),Node(m10)
